{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 2600, 'end': 2800, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.52869, 'sum-sq-ratio': 207.1568, 'sample-size': 200, 'sum-start': 149.0, 'sum-end': 149.0, 'sum-cov': 149.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 2800, 'end': 3000, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.31003, 'sum-sq-ratio': 206.69708, 'sample-size': 200, 'sum-start': 148.0, 'sum-end': 148.0, 'sum-cov': 148.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 3000, 'end': 3200, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.34143, 'sum-sq-ratio': 206.77051, 'sample-size': 200, 'sum-start': 155.0, 'sum-end': 155.0, 'sum-cov': 155.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 3200, 'end': 3400, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.60966, 'sum-sq-ratio': 207.32498, 'sample-size': 200, 'sum-start': 151.0, 'sum-end': 151.0, 'sum-cov': 151.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 3400, 'end': 3600, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.60532, 'sum-sq-ratio': 207.3129, 'sample-size': 200, 'sum-start': 154.0, 'sum-end': 154.0, 'sum-cov': 154.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 3600, 'end': 3800, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.48608, 'sum-sq-ratio': 207.0602, 'sample-size': 200, 'sum-start': 156.0, 'sum-end': 156.0, 'sum-cov': 156.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 3800, 'end': 4000, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.36069, 'sum-sq-ratio': 206.812, 'sample-size': 200, 'sum-start': 158.0, 'sum-end': 158.0, 'sum-cov': 158.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 4000, 'end': 4200, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.35265, 'sum-sq-ratio': 206.79477, 'sample-size': 200, 'sum-start': 153.0, 'sum-end': 153.0, 'sum-cov': 153.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 4200, 'end': 4400, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.15959, 'sum-sq-ratio': 206.39561, 'sample-size': 200, 'sum-start': 164.0, 'sum-end': 164.0, 'sum-cov': 164.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 4400, 'end': 4600, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.63205, 'sum-sq-ratio': 207.37012, 'sample-size': 200, 'sum-start': 156.0, 'sum-end': 156.0, 'sum-cov': 156.0}
